"","V1","V2","V3"
"1",124918.433582227,119940.045516324,118891.195273927
"2",122044.912552569,122142.556558657,119023.341700742
"3",115456.682614638,117074.555874453,113805.543571401
"4",115418.685050655,126438.247274346,122836.326763466
"5",127996.865946859,120593.413362842,119178.895694724
"6",126110.006043366,120471.19430526,116856.597443093
"7",124972.453353024,119516.690411576,115346.700488352
"8",131298.631749569,122797.508918457,122242.740116831
"9",122216.882340989,123617.967876696,119789.969412968
"10",129358.159556231,119042.771172072,121201.14354732
"11",136890.300926102,118423.489155001,116850.119262362
"12",132157.045831462,119350.640881906,120159.492373527
"13",119205.626408369,117351.781594673,121574.548033846
"14",128021.394823913,121259.81062159,117077.223357857
"15",132102.221328982,118820.787158091,116671.587814203
"16",132991.960121356,123586.948227187,121241.880963852
"17",143078.216483903,115337.655964385,119948.61944876
"18",124769.19404286,119168.716506165,118031.004934997
"19",126415.940157899,120005.077111585,119723.237791792
"20",123075.621925863,119253.155276963,122023.924480912
"21",125785.795363309,115987.02363972,115902.961436334
"22",145152.555389596,117817.898559438,119337.419899662
"23",128693.951146104,126033.967977923,122711.46604302
"24",134152.808041533,122418.986983327,118828.58539083
"25",127767.418571657,118581.473102639,119554.059428083
"26",124668.304298425,123375.626520048,115625.164654379
"27",133110.842835489,127252.57379472,120406.931475342
"28",130094.996480989,118704.155386403,118327.750236225
"29",136656.300992457,124464.786054161,115368.805278542
"30",126045.419976257,122518.525937214,120424.262277774
